Company,TypeName,Inches,Ram,Weight,Price,Touchscreen,IPS,PPI,SSD,HDD,Hybrid,Flash_Storage,CPU_Brand,CPU_Speed,GPU_Brand,OS_Category
Apple,Ultrabook,13.3,8,1.37,11.175754549129525,0,1,226.98300468106115,128,0,0,0,Intel Core i5,2.3,Intel,Mac
Apple,Ultrabook,13.3,8,1.34,10.776777317653348,0,0,127.67794013309688,0,0,0,128,Intel Core i5,1.8,Intel,Mac
HP,Notebook,15.6,8,1.86,10.329931067029493,0,0,141.21199808219862,256,0,0,0,Intel Core i5,2.5,Intel,Other
Apple,Ultrabook,15.4,16,1.83,11.814475944954543,0,1,220.53462386625827,512,0,0,0,Intel Core i7,2.7,AMD,Mac
Apple,Ultrabook,13.3,8,1.37,11.473100972779061,0,1,226.98300468106115,256,0,0,0,Intel Core i5,3.1,Intel,Mac
Acer,Notebook,15.6,4,2.1,9.967025573340116,0,0,100.45466986113652,0,500,0,0,AMD Processor,3.0,AMD,Windows
Apple,Ultrabook,15.4,16,2.04,11.644108115458181,0,1,220.53462386625827,0,0,0,256,Intel Core i7,2.2,Intel,Mac
Apple,Ultrabook,13.3,8,1.34,11.030614992235144,0,0,127.67794013309688,0,0,0,256,Intel Core i5,1.8,Intel,Mac
Asus,Ultrabook,14.0,16,1.3,11.285442512056923,0,0,157.3505121487356,512,0,0,0,Intel Core i7,1.8,Nvidia,Windows
Acer,Ultrabook,14.0,8,1.6,10.621951541079865,0,1,157.3505121487356,256,0,0,0,Intel Core i5,1.6,Intel,Windows
HP,Notebook,15.6,4,1.86,9.951658096208996,0,0,100.45466986113652,0,500,0,0,Intel Core i5,2.5,Intel,Other
HP,Notebook,15.6,4,1.86,9.819076457336157,0,0,141.21199808219862,0,500,0,0,Intel Core i3,2.0,Intel,Other
Apple,Ultrabook,15.4,16,1.83,11.775302049361828,0,1,220.53462386625827,256,0,0,0,Intel Core i7,2.8,AMD,Mac
Dell,Notebook,15.6,4,2.2,10.187966701099127,0,0,141.21199808219862,256,0,0,0,Intel Core i3,2.0,AMD,Windows
Apple,Ultrabook,12.0,8,0.92,11.116330976323743,0,1,226.4155471693585,256,0,0,0,Other Intel Processor,1.2,Intel,Mac
Apple,Ultrabook,13.3,8,1.37,11.301072237406666,0,1,226.98300468106115,256,0,0,0,Intel Core i5,2.3,Intel,Mac
Dell,Notebook,15.6,8,2.2,10.588945244611695,0,0,141.21199808219862,256,0,0,0,Intel Core i7,2.7,AMD,Windows
Apple,Ultrabook,15.4,16,1.83,11.933438384721946,0,1,220.53462386625827,512,0,0,0,Intel Core i7,2.9,AMD,Mac
Lenovo,Notebook,15.6,8,2.2,10.18816712198365,0,0,141.21199808219862,0,1024,0,0,Intel Core i3,2.4,Nvidia,Other
Dell,Ultrabook,13.3,8,1.22,10.862092668762646,1,1,165.6321180513006,128,0,0,0,Intel Core i5,1.6,Intel,Windows
Asus,Netbook,11.6,2,0.98,9.232535429245788,0,0,135.0942111925629,0,0,0,32,Other Intel Processor,1.44,Intel,Windows
Lenovo,Gaming,15.6,8,2.5,10.88231580488069,0,1,141.21199808219862,128,1024,0,0,Intel Core i5,2.5,Nvidia,Windows
HP,Notebook,15.6,4,1.86,9.528520611153752,0,0,100.45466986113652,0,500,0,0,AMD Processor,1.5,AMD,Other
Dell,2 in 1 Convertible,13.3,8,1.62,10.683645110085203,1,0,165.6321180513006,256,0,0,0,Intel Core i5,1.6,Intel,Windows
HP,Ultrabook,15.6,8,1.91,10.46628456073464,0,0,141.21199808219862,256,0,0,0,Intel Core i7,1.8,Intel,Windows
Dell,Notebook,15.6,4,2.3,10.012572388296086,0,0,100.45466986113652,0,1024,0,0,Intel Core i3,2.0,Intel,Windows
Apple,Ultrabook,13.3,8,1.35,10.977716980635753,0,0,127.67794013309688,0,0,0,128,Intel Core i5,1.6,Intel,Mac
Dell,Notebook,15.6,8,2.2,10.66017275390006,0,0,141.21199808219862,256,0,0,0,Intel Core i5,1.6,AMD,Windows
