Company,TypeName,Inches,Ram,Weight,Price,Touchscreen,IPS,PPI,SSD,HDD,Hybrid,Flash_Storage,CPU_Brand,CPU_Speed,GPU_Brand,OS_Category
Apple,Ultrabook,13.3,8,1.37,2.4137466593950823,0,1,226.98300468106115,128,0,0,0,Intel Core i5,2.3,Intel,Mac
Apple,Ultrabook,13.3,8,1.34,2.3773935706614333,0,0,127.67794013309688,0,0,0,128,Intel Core i5,1.8,Intel,Mac
HP,Notebook,15.6,8,1.86,2.3350456100240433,0,0,141.21199808219862,256,0,0,0,Intel Core i5,2.5,Intel,Other
Apple,Ultrabook,15.4,16,1.83,2.469325554594178,0,1,220.53462386625827,512,0,0,0,Intel Core i7,2.7,AMD,Mac
Apple,Ultrabook,13.3,8,1.37,2.440005249682929,0,1,226.98300468106115,256,0,0,0,Intel Core i5,3.1,Intel,Mac
Acer,Notebook,15.6,4,2.1,2.299282201783183,0,0,100.45466986113651,0,500,0,0,AMD Processor,3.0,AMD,Windows
Apple,Ultrabook,15.4,16,2.04,2.454800310919125,0,1,220.53462386625827,0,0,0,256,Intel Core i7,2.2,Intel,Mac
Apple,Ultrabook,13.3,8,1.34,2.4006745880334015,0,0,127.67794013309688,0,0,0,256,Intel Core i5,1.8,Intel,Mac
Asus,Ultrabook,14.0,16,1.3,2.423513621911605,0,0,157.3505121487356,512,0,0,0,Intel Core i7,1.8,Nvidia,Windows
Acer,Ultrabook,14.0,8,1.6,2.3629227598621285,0,1,157.3505121487356,256,0,0,0,Intel Core i5,1.6,Intel,Windows
HP,Notebook,15.6,4,1.86,2.2977391801222016,0,0,100.45466986113651,0,500,0,0,Intel Core i5,2.5,Intel,Other
HP,Notebook,15.6,4,1.86,2.284327070829223,0,0,141.21199808219862,0,500,0,0,Intel Core i3,2.0,Intel,Other
Apple,Ultrabook,15.4,16,1.83,2.4660042913239546,0,1,220.53462386625827,256,0,0,0,Intel Core i7,2.8,AMD,Mac
Dell,Notebook,15.6,4,2.2,2.321207288668517,0,0,141.21199808219862,256,0,0,0,Intel Core i3,2.0,AMD,Windows
Apple,Ultrabook,12.0,8,0.92,2.4084152862052366,0,1,226.41554716935852,256,0,0,0,Other Intel Processor,1.2,Intel,Mac
Apple,Ultrabook,13.3,8,1.37,2.424897609482765,0,1,226.98300468106115,256,0,0,0,Intel Core i5,2.3,Intel,Mac
Dell,Notebook,15.6,8,2.2,2.359810555466178,0,0,141.21199808219862,256,0,0,0,Intel Core i7,2.7,AMD,Windows
Apple,Ultrabook,15.4,16,1.83,2.479344407888787,0,1,220.53462386625827,512,0,0,0,Intel Core i7,2.9,AMD,Mac
Lenovo,Notebook,15.6,8,2.2,2.321226960789467,0,0,141.21199808219862,0,1024,0,0,Intel Core i3,2.4,Nvidia,Other
Dell,Ultrabook,13.3,8,1.22,2.385278991040323,1,1,165.6321180513006,128,0,0,0,Intel Core i5,1.6,Intel,Windows
Asus,Netbook,11.6,2,0.98,2.2227337051859903,0,0,135.0942111925629,0,0,0,32,Other Intel Processor,1.44,Intel,Windows
Lenovo,Gaming,15.6,8,2.5,2.3871390684918086,0,1,141.21199808219862,128,1024,0,0,Intel Core i5,2.5,Nvidia,Windows
HP,Notebook,15.6,4,1.86,2.2542894706897685,0,0,100.45466986113651,0,500,0,0,AMD Processor,1.5,AMD,Other
Dell,2 in 1 Convertible,13.3,8,1.62,2.368714077744054,1,0,165.6321180513006,256,0,0,0,Intel Core i5,1.6,Intel,Windows
HP,Ultrabook,15.6,8,1.91,2.348159096643523,0,0,141.21199808219862,256,0,0,0,Intel Core i7,1.8,Intel,Windows
Dell,Notebook,15.6,4,2.3,2.303841542160711,0,0,100.45466986113651,0,1024,0,0,Intel Core i3,2.0,Intel,Windows
Apple,Ultrabook,13.3,8,1.35,2.3958674892010703,0,0,127.67794013309688,0,0,0,128,Intel Core i5,1.6,Intel,Mac
Dell,Notebook,15.6,8,2.2,2.3665146244131456,0,0,141.21199808219862,256,0,0,0,Intel Core i5,1.6,AMD,Windows
Dell,Ultrabook,15.6,8,1.88,2.410913882080981,0,0,141.21199808219862,512,0,0,0,Intel Core i7,1.9,Intel,Windows
HP,Notebook,17.3,8,2.5,2.37708954874984,0,0,127.33567457123111,0,1024,0,0,Intel Core i5,1.6,Nvidia,Windows
Chuwi,Notebook,15.6,4,1.89,2.2488444293576273,0,0,141.21199808219862,0,0,0,64,Other Intel Processor,1.44,Intel,Windows
Asus,Notebook,14.0,2,1.65,2.2266610259177386,0,0,111.93520355955211,0,0,0,32,AMD Processor,1.5,AMD,Windows
HP,Notebook,17.3,4,2.71,2.308573172536976,0,0,127.33567457123111,0,500,0,0,AMD Processor,2.5,AMD,Windows
Dell,Ultrabook,13.3,16,1.2,2.443104994453255,1,0,276.053530085501,512,0,0,0,Intel Core i7,1.8,Intel,Windows
Apple,Ultrabook,13.3,8,1.35,2.3870470339982197,0,0,127.67794013309688,0,0,0,256,Intel Core i5,1.6,Intel,Mac
Lenovo,Notebook,14.0,4,1.44,2.250556151526295,0,0,111.93520355955211,0,0,0,64,Other Intel Processor,1.1,Intel,Windows
Acer,Notebook,15.6,4,2.1,2.290605915726104,0,0,100.45466986113651,0,1024,0,0,Intel Core i3,2.7,Intel,Linux
Dell,Notebook,17.3,8,2.8,2.385278991040323,0,1,127.33567457123111,128,1024,0,0,Intel Core i5,1.6,AMD,Windows
HP,Notebook,15.6,4,1.86,2.3191756423660683,0,0,100.45466986113651,0,1024,0,0,Intel Core i5,2.5,Intel,Windows
HP,Notebook,15.6,8,2.1,2.3753099448700756,0,0,141.21199808219862,256,0,0,0,Intel Core i5,1.6,Nvidia,Windows
Asus,Notebook,15.6,4,2.0,2.2964805350223267,0,0,141.21199808219862,0,1024,0,0,Intel Core i3,2.0,Intel,Linux
Dell,Gaming,15.6,16,2.65,2.423750360170089,0,1,141.21199808219862,256,1024,0,0,Intel Core i7,2.8,Nvidia,Windows
Asus,Notebook,15.6,8,2.3,2.3258252727441118,0,0,100.45466986113651,0,1024,0,0,Intel Core i5,2.5,Nvidia,Linux
Acer,Notebook,15.6,4,2.2,2.3514315112074367,0,1,141.21199808219862,256,0,0,0,Intel Core i5,1.6,Intel,Windows
Dell,2 in 1 Convertible,17.3,12,2.77,2.3871390684918086,1,0,127.33567457123111,0,1024,0,0,Intel Core i5,1.6,Nvidia,Windows
Apple,Ultrabook,13.3,8,1.37,2.4188797952664305,0,1,226.98300468106115,256,0,0,0,Intel Core i5,2.0,Intel,Mac
Lenovo,Notebook,15.6,4,2.2,2.2911557937035676,0,0,100.45466986113651,128,0,0,0,Intel Core i3,2.0,Intel,Other
Asus,Gaming,17.3,8,3.2,2.410982985011696,0,0,127.33567457123111,256,1024,0,0,AMD Processor,3.0,AMD,Windows
Dell,Notebook,15.6,4,2.3,2.345210147163374,0,0,141.21199808219862,256,0,0,0,Intel Core i5,2.5,AMD,Windows
Asus,Notebook,17.3,4,2.8,2.3144886299844907,0,0,90.58340172449303,0,1024,0,0,Other Intel Processor,1.1,Nvidia,Windows
Lenovo,2 in 1 Convertible,10.1,4,0.69,2.276318335311377,1,1,224.17380907857276,0,0,0,64,Other Intel Processor,1.44,Intel,Other
Acer,Notebook,15.6,8,2.2,2.371192140773076,0,1,141.21199808219862,256,0,0,0,Intel Core i7,1.8,Nvidia,Windows
HP,Notebook,15.6,4,1.86,2.298902664172304,0,0,141.21199808219862,256,0,0,0,AMD Processor,2.5,AMD,Windows
HP,Notebook,13.3,8,1.49,2.3961983834853045,0,0,165.6321180513006,512,0,0,0,Intel Core i7,1.8,Intel,Windows
Acer,Notebook,15.6,4,2.4,2.29517808660835,0,0,100.45466986113651,0,1024,0,0,Intel Core i3,2.4,Intel,Windows
Dell,Notebook,15.6,8,2.13,2.362653353839716,0,0,141.21199808219862,256,0,0,0,Intel Core i7,1.8,AMD,Windows
HP,Notebook,15.6,4,1.91,2.308573172536976,0,0,141.21199808219862,128,0,0,0,Intel Core i3,2.0,Intel,Windows
Asus,Notebook,15.6,4,2.0,2.3369097047166596,0,0,100.45466986113651,256,0,0,0,Intel Core i5,2.5,Intel,Windows
MSI,Gaming,17.3,16,2.43,2.466317952451276,0,0,127.33567457123111,256,2048,0,0,Intel Core i7,2.8,Nvidia,Windows
Asus,Notebook,15.6,4,2.0,2.3029689739486057,0,0,141.21199808219862,256,0,0,0,Intel Core i3,2.0,Intel,Linux
Dell,Notebook,17.3,16,2.8,2.410982985011696,0,0,127.33567457123111,256,2048,0,0,Intel Core i7,1.8,AMD,Windows
Dell,Ultrabook,14.0,8,1.7,2.3753099448700756,0,0,157.3505121487356,256,0,0,0,Intel Core i5,1.6,Intel,Windows
Lenovo,Notebook,14.0,8,1.7,2.338996346418969,0,1,157.3505121487356,256,0,0,0,Intel Core i3,2.7,Intel,Other
Asus,Notebook,14.0,8,1.4,2.3816276852558476,0,0,157.3505121487356,256,0,0,0,Intel Core i5,1.6,Intel,Windows
HP,Notebook,15.6,8,1.86,2.3525414934001665,0,0,141.21199808219862,256,0,0,0,Intel Core i5,2.5,Intel,Windows
Asus,Ultrabook,15.6,16,1.8,2.4482363682624126,0,0,141.21199808219862,512,0,0,0,Intel Core i7,2.8,Nvidia,Windows
HP,Notebook,15.6,4,1.86,2.308502951827093,0,0,100.45466986113651,0,500,0,0,Intel Core i3,2.0,AMD,Windows
HP,Notebook,14.0,4,1.44,2.2416967583232346,0,0,111.93520355955211,32,0,0,0,Other Intel Processor,1.6,Intel,Windows
Lenovo,Notebook,15.6,4,1.9,2.330556176033704,0,0,141.21199808219862,0,1024,0,0,Intel Core i5,2.5,Intel,Windows
Asus,Gaming,17.3,12,3.0,2.382409606850463,0,0,127.33567457123111,0,1024,0,0,Intel Core i7,2.8,Nvidia,Linux
Microsoft,Ultrabook,13.5,4,1.252,2.395034470891766,1,0,200.84255993695703,128,0,0,0,Intel Core i5,2.5,Intel,Windows
Dell,Ultrabook,13.3,8,1.4,2.3829913376611884,0,1,165.6321180513006,256,0,0,0,Intel Core i7,1.8,AMD,Windows
Dell,Notebook,15.6,8,2.2,2.374352507410052,0,0,141.21199808219862,256,0,0,0,Intel Core i7,1.8,AMD,Windows
MSI,Gaming,17.3,8,2.7,2.3955352782445107,0,0,127.33567457123111,128,1024,0,0,Intel Core i5,2.5,Nvidia,Windows
Acer,Notebook,14.0,8,2.1,2.2964805350223267,0,0,111.93520355955211,0,1024,0,0,Intel Core i3,2.0,Intel,Windows
Asus,Gaming,15.6,8,2.2,2.382409606850463,0,0,141.21199808219862,0,1024,0,0,Intel Core i7,2.8,Nvidia,Windows
Lenovo,Notebook,15.6,8,2.2,2.325076739810693,0,0,141.21199808219862,0,2048,0,0,Intel Core i5,2.5,Intel,Other
Dell,Notebook,15.6,8,2.02,2.372732464005644,0,0,141.21199808219862,128,1024,0,0,Intel Core i7,1.8,Intel,Windows
Acer,Notebook,15.6,4,2.2,2.327125306926312,0,0,141.21199808219862,0,1024,0,0,Intel Core i3,2.7,Nvidia,Windows
HP,Notebook,17.3,8,2.5,2.3850907047608776,0,0,127.33567457123111,128,1024,0,0,Intel Core i5,1.6,Nvidia,Windows
Dell,Ultrabook,15.6,8,1.88,2.395631755564705,0,1,141.21199808219862,256,0,0,0,Intel Core i5,1.6,Intel,Windows
Apple,Ultrabook,12.0,8,0.92,2.4243978611204535,0,1,226.41554716935852,512,0,0,0,Intel Core i5,1.3,Intel,Mac
